depth	subs	unio	duck	swan
0.08	mud	0	0	0
0.12	mud	0	0	0
0.14	mud	0	0	0
0.17	mud	0	0	0
0.18	mud	0	0	0
0.24	mud	0	1	0
0.25	mud	0	0	0
0.25	mud	0	0	1
0.26	sand	0	0	0
0.29	mud	12	2	0
0.35	mud	0	0	0
0.4	gravel	0	0	1
0.41	mud	0	0	0
0.41	mud	11	7	1
0.43	gravel	0	2	0
0.45	sand	0	1	0
0.45	sand	1	1	1
0.46	gravel	1	2	0
0.48	gravel	4	1	0
0.49	sand	3	0	0
0.5	gravel	2	0	0
0.51	sand	0	1	1
0.53	mud	0	0	1
0.58	gravel	9	4	2
0.59	sand	2	0	0
0.59	sand	2	0	1
0.68	gravel	0	0	2
0.73	gravel	3	1	0
0.74	sand	1	1	0
0.78	mud	2	2	0
0.81	sand	0	0	0
0.83	mud	8	2	2
0.85	sand	4	1	0
0.86	mud	3	4	1
0.87	mud	0	1	2
0.89	gravel	0	0	0
0.96	mud	3	2	1
0.97	sand	4	1	1
0.99	mud	1	2	0
1	mud	0	0	2
1.01	gravel	5	1	0
1.02	mud	0	1	3
1.03	gravel	3	1	0
1.04	sand	0	2	1
1.06	gravel	2	0	1
1.18	gravel	4	0	2
1.19	sand	8	0	0
1.2	mud	2	2	0
1.3	gravel	0	1	0
1.3	sand	2	0	1
1.32	sand	0	1	1
1.38	gravel	0	0	0
1.38	sand	3	0	0
1.44	sand	1	0	1
1.47	sand	0	0	1
1.49	sand	4	1	1
1.51	mud	0	1	2
1.53	mud	0	1	2
1.57	mud	0	0	2
1.57	sand	0	2	1
1.61	sand	0	1	0
1.61	sand	1	2	1
1.62	mud	0	0	0
1.63	sand	1	4	4
1.64	mud	0	1	2
1.64	sand	1	4	1
1.64	sand	0	0	3
1.65	mud	0	0	0
1.65	mud	0	0	1
1.65	sand	5	1	2
1.67	sand	1	4	0
1.68	sand	0	1	1
1.7	sand	0	0	1
1.74	mud	0	6	3
1.82	mud	0	2	2
1.91	sand	1	1	1
1.93	gravel	1	0	2
2.02	mud	0	1	0
2.05	mud	0	2	5
2.08	mud	0	2	1
2.12	mud	0	0	5
2.15	mud	0	1	3
2.16	mud	0	0	0
2.19	mud	0	1	3
2.26	mud	0	0	7
2.28	mud	0	0	1
2.29	mud	0	3	1
2.31	mud	0	2	6
2.37	mud	0	0	2
2.37	mud	0	7	4
2.38	mud	0	0	5
2.42	mud	0	1	4
2.62	mud	0	0	2
2.76	mud	0	8	6
2.82	mud	0	1	4
